JSON Semantic Similarity Evaluation,,,,,,,,,,
============================================================,,,,,,,,,,
model_name,json_extracted_diagnosis_pass1,json_extracted_diagnosis_pass2,json_semantic_similarity_score,flip_rate_json_semantic_detected,true_diagnosis,diagnosis_other_terms,accuracy_json_semantic_pass1,accuracy_json_semantic_pass2,,
google/medgemma-27b-text-it,"Systemic Amyloidosis (likely AL or AA, despite negative SPEP/UPEP/FLC)","Systemic Amyloidosis (likely AL or AA, despite negative SPEP/UPEP/FLC)",1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,"Systemic Amyloidosis (likely AL or AA, despite negative SPEP/UPEP/FLC)","Systemic Amyloidosis (likely AL or AA, despite negative SPEP/UPEP/FLC)",1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,"Systemic Amyloidosis (likely AL or AA, despite negative SPEP/UPEP/FLC)",Systemic Amyloidosis (AL or AA),0.874458492,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,"Systemic Amyloidosis (likely AL or AA, despite negative SPEP/UPEP/FLC)",Systemic Amyloidosis (AL or AA),0.874458492,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Sarcoidosis,IgG4-related disease,0.196299523,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Multicentric Castleman Disease (MCD),Sarcoidosis,0.277379215,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Sarcoidosis,Langerhans Cell Histiocytosis (LCH),0.321457118,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Sarcoidosis,Multicentric Castleman Disease,0.283934832,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
openai/gpt-4o,Erdheim-Chester disease,Erdheim-Chester disease,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,TRUE,TRUE,,
openai/gpt-4o,Erdheim-Chester disease,Erdheim-Chester disease,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,TRUE,TRUE,,
openai/gpt-4o,IgG4-related disease,Erdheim-Chester disease,0.241722554,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,TRUE,,
openai/gpt-4o,IgG4-related disease,Erdheim-Chester disease,0.241722554,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,TRUE,,
anthropic/claude-sonnet-4,Erdheim-Chester disease,IgG4-related disease,0.241722554,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,TRUE,FALSE,,
anthropic/claude-sonnet-4,Erdheim-Chester Disease,IgG4-related disease,0.241722554,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,TRUE,FALSE,,
anthropic/claude-sonnet-4,Erdheim-Chester disease,IgG4-related disease,0.241722554,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,TRUE,FALSE,,
anthropic/claude-sonnet-4,Erdheim-Chester disease,Erdheim-Chester disease,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,TRUE,TRUE,,
google/gemini-2.0-flash,Erdheim-Chester Disease (ECD),Erdheim-Chester Disease (ECD),1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,TRUE,TRUE,,
google/gemini-2.0-flash,Erdheim-Chester Disease (ECD),Erdheim-Chester Disease (ECD),1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,TRUE,TRUE,,
google/gemini-2.0-flash,Erdheim-Chester Disease (ECD),Erdheim-Chester Disease,0.932093859,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,TRUE,TRUE,,
google/medgemma-4b-it,Systemic Amyloidosis,Systemic Amyloidosis,0.999999881,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Amyloidosis,Amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Systemic Amyloidosis,Systemic Amyloidosis,0.999999881,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Amyloidosis,Amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,"Amyloidosis (specifically, likely AL Amyloidosis)",AL Amyloidosis,0.92741549,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,Amyloidosis (likely AL type),Amyloidosis (likely AL type),1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,Amyloidosis (likely AL type),Amyloidosis (likely AL type),1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,AL Amyloidosis,AL Amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Amyloidosis (AL amyloidosis),Multiple Myeloma,0.228016734,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Multiple Myeloma with Renal Involvement,Amyloidosis (AL Amyloidosis) with Renal Involvement,0.452712238,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Amyloidosis (AL amyloidosis),Multiple Myeloma,0.228016734,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Multiple Myeloma,Amyloidosis (AL Amyloidosis secondary to Multiple Myeloma),0.612481177,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
openai/gpt-4o,AL amyloidosis,Light chain deposition disease (LCDD),0.301228732,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
openai/gpt-4o,AL amyloidosis,Light chain deposition disease (LCDD),0.301228732,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
openai/gpt-4o,Light chain (AL) amyloidosis,Light chain (AL) amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
openai/gpt-4o,AL amyloidosis,Light chain deposition disease (LCDD),0.301228732,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
anthropic/claude-sonnet-4,AL amyloidosis,Multiple myeloma with renal involvement,0.204689473,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
anthropic/claude-sonnet-4,AL amyloidosis,Multiple myeloma with amyloidosis,0.586120725,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
anthropic/claude-sonnet-4,AL amyloidosis (primary amyloidosis),Multiple myeloma with amyloidosis,0.577794135,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
anthropic/claude-sonnet-4,AL amyloidosis,Multiple myeloma,0.233743399,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/gemini-2.0-flash,Systemic Amyloidosis (likely AL amyloidosis),"Systemic Amyloidosis, likely AL amyloidosis",0.994558811,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/gemini-2.0-flash,Systemic Amyloidosis (likely AL amyloidosis),Light Chain Amyloidosis (AL Amyloidosis),0.772988617,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Neonatal Hyperglycemia with Possible Hyperosmolar Hypernatremia,Neonatal Hyperglycemia with Possible Hyperosmolar Hypernatremia,1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Neonatal Hyperglycemia due to Galactosemia,Neonatal Hyperglycemia due to Galactosemia,1.000000119,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Neonatal Hyperglycemia with Possible Hyperosmolar Hypernatremia,Neonatal Hyperglycemia with Possible Hyperosmolar Hypernatremia,1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Neonatal Hyperglycemia with Possible Hyperosmolar Hypernatremia,Neonatal Hyperglycemia with Possible Hyperosmolar Hypernatremia,1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,"Sepsis with possible underlying metabolic disorder (e.g., Hyperglycemia/Diabetes)",Sepsis with Hyperglycemia,0.913525939,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,"Congenital Adrenal Hyperplasia (CAH), likely salt-wasting form","Congenital Adrenal Hyperplasia (CAH), salt-wasting form",0.996310532,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,"Sepsis with possible underlying metabolic disorder (e.g., Hyperglycemia/Diabetes)","Sepsis with possible underlying metabolic disorder (e.g., Hyperglycemia/Diabetes)",1.000000119,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,"Sepsis with possible underlying metabolic disorder (e.g., Hyperinsulinism or Glycogen Storage Disease)","Sepsis with possible underlying metabolic disorder (e.g., Hyperinsulinism or Glycogen Storage Disease)",1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,"Ketotic Hypoglycemia (Dehydration and Hyperglycemia in Infancy) or more specifically, Dehydration and Hyperglycemia due to Breast Milk Feeding",Septic Shock,0.13423866,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Congenital Hyperinsulinism,Congenital Hypothyroidism,0.528981447,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,"Ketotic Hypoglycemia due to Congenital Hypothyroidism or possibly Congenital CMV Infection, but most likely Congenital CMV Infection",Congenital Cytomegalovirus (CMV) Infection,0.559267581,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Congenital Adrenal Hyperplasia (CAH) due to 21-hydroxylase deficiency,Congenital Adrenal Hyperplasia (CAH) due to 21-hydroxylase deficiency,1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
openai/gpt-4o,Neonatal sepsis with hyperglycemia,Congenital adrenal hyperplasia (CAH) due to 21-hydroxylase deficiency,0.275104284,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
openai/gpt-4o,Neonatal diabetes mellitus,Congenital adrenal hyperplasia (CAH) due to 21-hydroxylase deficiency,0.293645561,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,FALSE,,
openai/gpt-4o,neonatal sepsis,congenital adrenal hyperplasia (CAH) due to 21-hydroxylase deficiency,0.131570578,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
openai/gpt-4o,Neonatal diabetes mellitus,Neonatal diabetes mellitus,1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,TRUE,,
anthropic/claude-sonnet-4,Neonatal diabetes mellitus,Congenital adrenal hyperplasia (CAH) - salt-wasting form,0.287075698,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,FALSE,,
anthropic/claude-sonnet-4,Neonatal diabetes mellitus,Congenital adrenal hyperplasia (CAH) with salt-wasting crisis,0.282260925,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,FALSE,,
anthropic/claude-sonnet-4,Neonatal sepsis with secondary hyperglycemia,Neonatal diabetes mellitus with diabetic ketoacidosis,0.633699179,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
anthropic/claude-sonnet-4,Neonatal diabetes mellitus,Congenital adrenal hyperplasia (CAH) - salt-wasting form,0.287075698,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,FALSE,,
google/gemini-2.0-flash,Neonatal Diabetes Mellitus,Neonatal Diabetes Mellitus,1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,TRUE,,
google/medgemma-4b-it,Neonatal Hyperglycemia with Possible Diabetic Ketoacidosis (DKA),Neonatal Hyperglycemia with Possible Diabetic Ketoacidosis (DKA),1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Neonatal Hyperglycemic Crisis (likely due to congenital hyperinsulinism),Neonatal Hyperglycemic Crisis (likely due to congenital hyperinsulinism),1.000000119,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Neonatal Hyperglycemic Hypoglycemic Crisis (HHH),Neonatal Hyperglycemic Hypoglycemic Crisis (HHH),1.000000119,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Neonatal Hyperglycemia with Possible Diabetic Ketoacidosis (DKA),Neonatal Hyperglycemia with Possible Diabetic Ketoacidosis (DKA),1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,"Sepsis with possible underlying metabolic disorder (e.g., Inborn Error of Metabolism)","Sepsis with possible underlying metabolic disorder (e.g., Inborn Error of Metabolism)",1.000000119,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,"Congenital Adrenal Hyperplasia (CAH), specifically salt-wasting form","Congenital Adrenal Hyperplasia (CAH), salt-wasting form",0.997041345,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,Sepsis secondary to congenital adrenal hyperplasia (CAH),Sepsis with possible underlying metabolic disorder or adrenal insufficiency,0.735294044,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,Inborn Error of Metabolism (likely related to galactosemia or fructose intolerance),Sepsis with possible underlying metabolic disorder,0.326481223,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,"Ketotic Hypoglycemia (possibly due to Congenital Hyperinsulinism) or Septic Shock, but likely Congenital Hyperinsulinism given the elevated blood glucose and clinical presentation",Septic Shock,0.271782517,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Ketotic Hypoglycemia due to Congenital Hyperinsulinism,Congenital Hyperinsulinism,0.761374474,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,"Ketotic Hypoglycemia due to Congenital Hyperinsulinism or possibly a case of Congenital Hypothyroidism, but more likely Congenital Hyperinsulinism","Septic Shock, likely due to Neonatal Sepsis",0.219835117,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Congenital Hyperinsulinism (CHI),Congenital Adrenal Hyperplasia (CAH) due to 21-Hydroxylase Deficiency,0.48508817,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
openai/gpt-4o,neonatal sepsis,neonatal sepsis,1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
openai/gpt-4o,Congenital Adrenal Hyperplasia (CAH) due to 21-hydroxylase deficiency,Neonatal Diabetes Mellitus,0.293645561,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,TRUE,,
openai/gpt-4o,neonatal sepsis,neonatal sepsis,1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
openai/gpt-4o,congenital adrenal hyperplasia (CAH) due to 21-hydroxylase deficiency,neonatal hyperglycemic hyperosmolar syndrome,0.439336002,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
anthropic/claude-sonnet-4,Neonatal diabetes mellitus,Neonatal sepsis with secondary hyperglycemia,0.672869921,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,FALSE,,
anthropic/claude-sonnet-4,Neonatal diabetes mellitus,Congenital adrenal hyperplasia (CAH) - salt-wasting form,0.287075698,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,FALSE,,
anthropic/claude-sonnet-4,Neonatal sepsis with secondary hyperglycemia,Neonatal botulism,0.371716678,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
anthropic/claude-sonnet-4,Neonatal diabetes mellitus,Congenital hyperinsulinism with secondary dehydration and possible sepsis,0.427202433,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,FALSE,,
google/gemini-2.0-flash,Neonatal Diabetes Mellitus,Neonatal Diabetes Mellitus with possible Sepsis,0.77555573,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,TRUE,FALSE,,
google/gemini-2.0-flash,Neonatal Sepsis,Neonatal Sepsis,1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/gemini-2.0-flash,Sepsis secondary to Urinary Tract Infection (UTI),Sepsis secondary to urinary tract infection (UTI) or congenital anomaly of the kidney and urinary tract (CAKUT) with possible Diabetic Ketoacidosis (DKA),0.679742217,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Neonatal Hyperglycemic Illness (NHI),Neonatal Hyperglycemic Illness (NHI),1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Hyperglycemic Ketoacidosis (DKA),Hyperglycemic Ketoacidosis (DKA),1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Neonatal Hyperglycemic Illness (NHI),Neonatal Hyperglycemic Illness (NHI),1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-4b-it,Diabetic Ketoacidosis (DKA),Diabetic Ketoacidosis (DKA),1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,"Sepsis with possible underlying metabolic disorder (e.g., congenital hyperinsulinism or neonatal diabetes)","Sepsis with possible underlying metabolic disorder (e.g., neonatal diabetes mellitus or stress-induced hyperglycaemia)",0.90416199,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,Diabetic Ketoacidosis (DKA),Diabetic Ketoacidosis (DKA),1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,Sepsis secondary to invasive bacterial infection (likely Meningitis or Bacteremia),Sepsis secondary to invasive bacterial infection (likely Meningitis or Bacteremia),1,FALSE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
google/medgemma-27b-text-it,"Dehydration with possible underlying metabolic disorder (e.g., Diabetes Insipidus or Diabetes Mellitus)","Severe Dehydration with Hyperglycaemia, likely secondary to an underlying metabolic disorder or infection.",0.763077736,TRUE,Permanent Neonatal Diabetes Mellitus (PNDM),Neonatal Diabetes Mellitus,FALSE,FALSE,,
